,SecuCode,FirstIndustryCode
1662,600656,30
1663,600660,30
1664,600676,30
1665,600686,30
1666,600698,30
1667,600699,30
1668,600741,30
1669,600742,30
1670,600818,30
1671,600841,30
1672,600877,30
1673,600933,30
1674,600960,30
1675,600991,30
1676,601058,30
1677,601127,30
1678,601238,30
1679,601258,30
1680,601311,30
1681,601633,30
1682,601689,30
1683,601777,30
1684,601799,30
1685,601965,30
1686,603006,30
1687,603009,30
1688,603023,30
1689,603035,30
1690,603037,30
1691,603040,30
1692,603089,30
1693,603129,30
1694,603158,30
1695,603161,30
1696,603166,30
1697,603178,30
1698,603179,30
1699,603197,30
1700,603239,30
1701,603286,30
1702,603305,30
1703,603306,30
1704,603335,30
1705,603358,30
1706,603377,30
1707,603569,30
1708,603586,30
1709,603611,30
1710,603655,30
1711,603680,30
1712,603701,30
1713,603730,30
1714,603758,30
1715,603766,30
1716,603767,30
1717,603768,30
1718,603776,30
1719,603787,30
1720,603788,30
1721,603809,30
1722,603895,30
1723,603917,30
1724,603922,30
1725,603926,30
1726,603997,30
1727,000026,31
1728,000151,31
1729,000417,31
1730,000419,31
1731,000501,31
1732,000516,31
1733,000560,31
1734,000564,31
1735,000587,31
1736,000626,31
1737,000632,31
1738,000679,31
1739,000715,31
1740,000759,31
1741,000785,31
1742,000861,31
1743,000882,31
1744,002024,31
1745,002091,31
1746,002127,31
1747,002187,31
1748,002251,31
1749,002264,31
1750,002277,31
1751,002336,31
1752,002344,31
1753,002345,31
1754,002419,31
1755,002561,31
1756,002574,31
1757,002640,31
1758,002697,31
1759,002721,31
1760,002731,31
1761,002818,31
1762,300413,31
1763,600086,31
1764,600120,31
1765,600122,31
1766,600241,31
1767,600247,31
1768,600250,31
1769,600278,31
1770,600280,31
1771,600287,31
1772,600306,31
1773,600361,31
1774,600415,31
1775,600605,31
1776,600612,31
1777,600628,31
1778,600631,31
1779,600648,31
1780,600655,31
1781,600682,31
1782,600693,31
1783,600694,31
1784,600697,31
1785,600712,31
1786,600723,31
1787,600729,31
1788,600735,31
1789,600738,31
1790,600755,31
1791,600774,31
1792,600778,31
1793,600785,31
1794,600790,31
1795,600811,31
1796,600814,31
1797,600821,31
1798,600822,31
1799,600824,31
1800,600826,31
1801,600827,31
1802,600828,31
1803,600830,31
1804,600838,31
1805,600857,31
1806,600858,31
1807,600859,31
1808,600861,31
1809,600865,31
1810,600891,31
1811,600898,31
1812,600981,31
1813,601010,31
1814,601086,31
1815,601116,31
1816,601366,31
1817,601828,31
1818,601933,31
1819,603031,31
1820,603101,31
1821,603123,31
1822,603214,31
1823,603708,31
1824,603900,31
1825,000033,32
1826,000428,32
1827,000430,32
1828,000524,32
1829,000610,32
1830,000613,32
1831,000721,32
1832,000796,32
1833,000888,32
1834,000978,32
1835,002033,32
1836,002059,32
1837,002159,32
1838,002186,32
1839,002707,32
1840,300144,32
1841,300178,32
1842,600054,32
1843,600138,32
1844,600258,32
1845,600358,32
1846,600593,32
1847,600640,32
1848,600706,32
1849,600749,32
1850,600754,32
1851,601007,32
1852,601888,32
1853,603043,32
1854,603099,32
1855,603136,32
1856,603199,32
1857,603869,32
1858,000016,33
1859,000100,33
1860,000333,33
1861,000404,33
1862,000418,33
1863,000521,33
1864,000527,33
1865,000533,33
